name,affected_address,email_address,case_number,date,constituent_email_1,d4_response_1,d4_staff_member,constituent_email_2,d4_response_2,topics
Brian,Mansfield Ave,brian@email.com,0,2024-09-09,"Drag racing. What is the city doing? What can the city do? Things are not getting better. The situation is getting worse. Without a police presence, it will not stop. Without actual legal consequences, they have no reason to stop. We have lived in Denver for more than four years, and I have been shocked at how few traffic laws are actually enforced. This would be among the worst of them. The allowance of SO MANY unregistered vehicles across Denver is also right up there with car theft and catalytic converter theft. It may be that there is severe resource scarcity for the Denver PD. But I assure you, revenues for the PD would vastly increase if you penalized drag racers and unregistered vehicles. Then there might be enough, consistent funding to patrol and ensure all our neighborhoods are safe. 

As you are my councilperson and a significant amount of the drag racing is happening in your district, unfortunately, the weight to elevate this issue with the City Council must come from you. Both I and my neighbors would like to know what is being done about it. Submitting an online report to reportstreetracing.com is not enough. We chose our neighborhood because it seemed clean, safe and quiet. But it seems the perception of these Southeast Denver neighborhoods as being quiet and safe is being taken for granted by the PD, resulting in little to no police presence at all. It is defintely being taken advantage of by drag racers. I am frustrated. I am tired. ","Thank you for contacting our office about this issue.  Street racing has been a problem in the southeast corner of our district all summer.  The Denver Police are aware of this and are working with law enforcement agencies in the municipalities boarding Denver as the street racing crosses boundaries to Aurora, Englewood, and Douglas County.  Please call the police non-emergency line 720-913-2000 or to the Colorado State Patrol website, https://reportstreetracing.com/?AspxAutoDetectCookieSupport=1  The Troopers will forward the information to the appropriate jurisdiction for enforcement.

Also, here is an article from Denverite about the culture of street racing in Denver.  The DPD does not condone street racing nor does Councilwoman Romero Campbell, but it is an interesting perspective, https://denverite.com/2024/08/12/denver-car-show-culture/ 

",Staff2,,,"Vehicle,Transit,Street Racing,Neighborhood,Police"
Briana,Jefferson Square Park,briana@email.com,0,2024-09-09,"I am reaching out as our neighborhood park, Jefferson Square, currently have all three slides closed for damage. The plastic on the slides are cracked. Will this park be fixed? This is a commonly used neighborhood park that is walkable for the houses in the surrounding communities. Without this park we have to get in our cars to drive to a different location. ","Our park team has said that the replacement parts are ordered and as soon as they receive them, they will be installed.  This may be a few or more weeks as the parts have not shipped yet.",Staff2,,,"Neighborhood,Parks,Vehicle"
Gene,,gene@email.com,0,2024-09-10,Large and loud gatherings on S. Havana and Bible Park,"Good afternoon Gene,

Thank you for reaching out to our office. Last week at the Community Advisory Board meeting, the district 3 DPD department heard from community including other communications sent by Councilwoman Romero Campbell regarding Bible park. DPD informed us that it has partnered with the park rangers to begin to write citations for individuals who are caught at the park after hours, violating noise ordinance and littering. Community is encouraged to continue to report incidents to 311 as well as directly to the Denver Park Rangers. Once report has been submitted via 311, you may receive an email or call letting you know that the case has been closed this just means that the dispatcher has forwarded your request to DPD and DPR. The investigation is still active. 

DPD has increased patrol in and around Bible park and will continue to perform sting operations in collaboration with DPR. Please let us know if you have further questions. ",Staff1,"Thank you very much. Do you 
have a contact / dispatch phone 
number for the Park Rangers 
other than 311. We have called 
311 previously about the noise 
violations and are then advised to 
call the police directly. Thank you, 
Gene Foster","Good morning Gene, 

Here is the phone number for park ranger Jessica Johnson: 720-601-6153. Please let us know if you have further questions. ",Police
Jennifer,4400 Syracuse St apartments,jennifer@email.com,0,2024-09-10,"There are a lot of parking issues along S Syracuse into the cul de sac. Largely in part due to the 4400 S Syracuse apartments that were built a few years and the lack of parking available on the property grounds. This can be confirmed via multiple google reviews about the apartment complex. Naturally, when multi-unit housing does not provide enough parking, the parking will spill onto the city street. 
 
This is parking issue could have been avoided had the developers and the city worked together to make sure there was enough parking available, but since that can't be corrected, the city needs to take other measures.  One of those measures would be to simply send parking authorities down the street more than once a year. 
 "," Your email was forwarded to our office from Council District 3.  We are City Council District 4 and you are represented by Councilwoman Diana Romero Campbell.  I understand your frustration and we generally see an uptick in in street parking when a new apartment building is opened.  I did go over there yesterday, and I didn’t see a lot of what your pictures reflected.  It was during the day, so it looks like the parking is more of a problem in the evening when residents get home from work.  I did report the one car that is parked near the driveway in front of the “No Parking” sign.  

•	Please continue to report illegally parked cars and cars without plates to 311.  Please report each vehicle separately.  This will create cases in the system and they will be routed to the appropriate enforcement agencies.  You will notice that there is one category for “Illegal Parking” and one for “Abandon Vehicles”. Abandon vehicles can take up to 2 months to be towed due to the limited resources in the Sheriff’s department.   Agencies use the reports from 311 cases to make decisions on allocation of resources in different areas of the city so this is the best way to get attention to your area.
•	For loud street gatherings after curfew please call the police non-emergency number at 720-913-2000.  The police will try and respond as quickly as they can based on the other cases they are responding to.  
•	If you see criminal or dangerous activity, please call 911 to report it.
•	Finally, I would be happy to connect your HOA with our one of our Community Resource officers in police District 3.  Many times they can offer some other tools for dealing with your situation.

I will check with our Denver Police District 3 team to see if they are aware in any uptick of criminal activity in the area but for the most part crime is down all over the city.  Please check out the Denver crime dashboard and you can look up crime stats in your neighborhood.  ",Staff2,,Councilwoman Romero Campbell is advocating for updates at Jefferson Square Park including making it ADA compliant.  We are asking residents to call https://www.denvergov.org/Online-Services-Hub/Report-an-Issue/issue/new-report and request updates to the park.  When a request comes through 311 it is then put on a list for review and helps when they are deciding where to allocate resources.,"Parking,Housing"
Michael,,michael@email.com,0,2024-09-10,"Please reopen the in-place plan to install a Pedestrian crossing light and/or Blinking Yellow lights, at the Intersection of Syracuse and Quincy Ave.  With the new apartments, increased Rosamond Park weekend use etc. etc. this area has become so congested and unsafe for Pedestrians, specifically the elderly persons who are crossing Quincy to catch #65 bus stop (Northbound). Councilwoman Romero Campbell, would you please take a few minutes to see that the planning is in place...I was told, and hopefully you will address the safety issues here.","
Traffic Signal - Quincy/Syracuse
•	Status: Design
•	Scope: Installing a new traffic signal, adding some minor concrete bulb outs on the south side of the intersection, and adding curb ramps on the north side. 
•	Contracting Mechanism: On-Call Construction Contract (no Council action needed)
•	Schedule: 
o	Design Completion: Q2 2025
o	Anticipated Start of Construction: Q4 2025
o	Anticipated Construction Completion: Q4 2026",Staff2,,,"Housing,Transit"
Margaret,Syracuse Plaza,margaret@email.com,0,2024-09-11,Hello my name is Margaret Henry and I live at Syracuse plaza on the corner of Syracuse and Quincy. And I was back to wondering again when is the crosswalk and traffic light going to be installed? If Andrew can give me a call or send me a text I would really appreciate it I already know that it's been funded the it was just in the planning stages and since then I have not heard anything so can you please help me get updated with what is happening with the situation? I will be looking forward to an answer.,"Good afternoon Margaret,

Thank you for reaching out to our office. Andrew no longer works in our office however I am able to answer your question. The crosswalk and traffic light proposed to be installed at Syracuse and Quincy was approved by the department of transportation and infrastructure and the project is scheduled to begin construction in 2025. We continue to check in with the department quarterly and will send out updates as more information become available. Thank you.",Staff1,,,Transit
Barbara,Bradley School Zone,barbara@email.com,0,2024-09-12,I am highly concerned that the Bradley International School Zone signs on S Dahlia are frequently not noticed. The north bound 20 mile limit sign is behind a tree limb. I walk along S Dahlia and have witnessed vehicles exceeding the speed limits. It is very congested between 7:30 and 8 a.m. Many parents park on Dahlia and do not always use the crosswalk. Lots of kids walk to school in this neighborhood and cross S Dahlia. I would like to see  'flashing' school zone signs added to ensure the safety of all. Please look into this before there is an accident. ,"DOTI Response: I looked at the school location with the context you provided, and have a few comments/questions, below:
Can you confirm the location of the sign that you’re referring to or do you have an up-to-date photo you can share of this sign?
My assumed location of the sign via Google Streetview: https://www.google.com/maps/@39.6618723,-104.9316874,3a,75y,14.65h,72.92t/data=!3m6!1e1!3m4!1syp1tXf3eLCnXD6ju2DV0CA!2e0!7i16384!8i8192?entry=ttu&g_ep=EgoyMDI0MDkwOS4wIKXMDSoASAFQAw%3D%3D
If you can provide an image of the sign’s obstruction, I can file a 311 case in this instance and have it sent to the City Forester’s Office, which is under Denver Parks and Recreation (DPR).  DPR inspects trees that obstruct signs and can decide whose responsibility it is to trim the foliage. 
I also encourage you to file a 311 case (by dialing 311 on your phone, or visiting the link here to submit online), so that DPR might be able to connect with you regarding any questions they might have related to the request. 
                                                               i.      If you would prefer not to file a case, though, again, I’m happy to file the case myself, I just might not have all the context for DPR to best assist, but I’ll do my best.

DOTI has changed their internal process and procedure on how we review the need for school zone flashing beacons to be more proactive for the installation of these assets.  Currently, Bradley International does not meet the eligibility criteria for a school zone flashing beacon. DOTI looks to understand two things:
                                                               i.      Is the school located along a roadway that has a speed limit of at least 30 miles an hour or greater (excluding any school zone speed limit reductions)?
Answer: Yes. 
                                                             ii.      Is the school adjacent to a signalized collector- or arterial- classified roadway?
Answer: No.  While Dahlia Street is classified as a collector roadway, it is not a traffic-signal controlled corridor near the school location.  The technology we use currently use requires a nearby traffic signal to be able to activate the beacon during the enforcement times (during school arrival/dismissal).  There is no traffic signal close enough nearby that would allow DOTI to reliably operate a school zone flashing beacon at this location.
                                                           iii.      If our technology changes, DOTI will proactively reassess our eligibility criteria for school zone flashing beacons to determine if Bradley International becomes eligible.  Please note: alongside our eligibility criteria, DOTI also has a prioritization process to determine where school zone flashing beacons are of a high priority for installation.  If Bradley International becomes eligible, we will also make sure the school is prioritized appropriately and addressed with the limited funding we have for this work year-over-year.

Denver Police is responsible for educating, encouraging, and enforcing traffic laws in Denver.  For concerns related to speeding, DOTI recommends you connect with your local DPD Police Precinct to inquire if they have capacity to support with their staff during arrival/dismissal at the school. 
Local DPD Precinct is 3: Link
You’ll want to engage the Precinct’s Community Resource Officers if you haven’t already.  They can help determine who in their office would be best to assist.
You can also request a DPD Speed Trailer to be deployed if it is available through the DPD Neighborhood Enforcement Team (NET): 720-337-1030.",Staff1,,,"Neighborhood,Parks,Transit,Vehicle"
Dennis,Amherst and Quebec bus stop,dennis@email.com,0,2024-09-13,"I have reported this problem to the city of Denver and they have not taken any action. They responded that the ""Neighborhood Inspection"" has a case open. If that is the case then they are doing nothing. Could you follow up on this? At the bus stop #16145 (Amherst and Quebec northbound) there are a ton of overgrown sunflowers all over the sidewalk and around the bus stop. That is my preferred bus stop but I cannot use it because of all the bees surrounding the bus stop because the property owner or the city or both refuse to trim back the vegetation. I have to trek all the way up to Yale and Quebec to avoid getting stung. Also, is anyone were in a wheelchair they would NEVER be able to get through. I am contacting RTD as well. I know it is a long shot, but the courtesy of a reply is appreciated to know you have received this request.","
I have reported this to 311 using the address of the property adjacent to the bus stop and sunflowers. Hopefully with two complaints something will get done.  I know that these types of citations can take up to a month to address.",Staff2,,,"Neighborhood,Vegitation"
Jennifer,Bible Park,jennifer@email.com,0,2024-09-13,"Please see the article about Bible Park. There are a lot of issues and crime now at night.  The were rarely any issues until the Embassy Suites was turned into homeless shelters.  What are you going to do about this?   You and the mayor are ruining denver with these changes.  You are doing more harm than good.  Also, you are making Denver increasingly more expensive for those who live here.  If I do go out or buy, I tend to do this in other areas where the taxes are lower.  You have forgotten about those who live and work here.  I won’t vote for you.  You don’t care about us.","Good afternoon Jennifer,

Thank you for reaching out to our office. The issue at Bible park is a matter that DPD and DPR continue to investigate and monitor. CPT Romero Campbell checks in regularly with Commander Bell to make him aware of the issues as well as many more around the district. The Tamarac Shelter and the incidents at Bible are not related as our district had these same issues at Bible last year all summer and the shelter opened in December. 

CPT Romero Campbell voted in favor of all tax initiatives to be proposed to the residents of Denver on the November ballot to give them an opportunity to voice their stance on the affordable housing initiative and the Denver Health tax initiative. CPT Romero Campbell has spent her first year in office listening to the residents and will continue to do so as she represents District 4 at the city council. Let us know if you have further questions. ",Staff1,"
CPT Romero Campbell does not care about her district.  She does not listen to the people who vote and pay taxes.  The shelter should never have been here in the first people.  I talk with a lot of my neighbors and we are upset with her, the mayor and how Denver is going downhill.  She should not have voted for those initiatives.   I know I will vote no.  If passed, did she take into consideration how it affects the residents of Denver? This will raise the sales tax to over 10%.  I can go to other places where the taxes are lower.  However, some cannot.   There are a lot of us barely getting by and this will make it harder on some of us.   I work hard for my money.  Denver taxes us, squanders the money and makes Denver worse.   Has she thought about that?  I don’t know anyone who sees any benefit to these so called initiatives.  I am very upset that we are not being listen to.  In addition, what she doing about the illegal immigrants doing the window washing on the southeast corner of Tamarac and Hampden?  This is illegal and a safety issue.  I did call the police once about it.  I drove by the other day.  One of them just walked in front my car without any concern of the rules of the road or his safety.  I stopped because I did not want to hurt anyone. Others may not. I don’t think they understand the rules of the road here.","Good morning Jennifer,

Thank you for sharing your sentiments with our office. We will strive to continue to improve our avenues of listening to district 4 residents on the issue of taxation in Denver. DPD has been made aware of the newcomers at the intersection of Hampden and Tamarac and they continue to encourage residents to reports cases of harassment and property damage. They patrol the area and clear the intersection when called on but at times, the newcomers have moved to a different location or residents are unwilling to proceed with a report after they've called. Our office will continue to monitor the situation and will continue to bring up them at the monthly community advisory board hearing hosted by DPD. Thank you.","Homeless,Police,Policy"
Ann,2777 S Elmira St,ann@email.com,0,2024-09-15,"I would like to understand the process for having this block's parking restricted to no overnight parking. There are over 20 of us who have discussed garnering the support to initiate this process. Also, how to restrict bikes and scooters from being allowed in this area. We are observing that they are being used for crime. They are an easy get-away ride after breaking into vehicles and being used for drug trafficking. Please advise as to the process to move forward addressing these 2 issues. ","Here is the link https://www.denvergov.org/Government/Agencies-Departments-Offices/Agencies-Departments-Offices-Directory/Parking-Division/Permits/Residential-Parking-Permits  with the information to request residential parking restriction in your neighborhood.  The information for the neighborhood, not individual, permit is closer to the bottom of the page in a drop down.  It instructs you to make the request to 311, and I would add that you can click on the “neighborhood issue” button and follow the prompts.  Making a request will get you on a list for the area engineer team to review your proposal and determine if a neighborhood parking plan is feasible. When making your 311 request, I encourage you to sign up for an account.  It doesn’t take long, and you will be able to track your request.",Staff2,"I am out of town until 10/16 but will gather the neighbors when I return. We would love a meeting with the right people from DOTI to request no overnight parking and the process of enforcement. Also getting more patrols on this deadend would be great. More visible deterrents. 

Last week, I spoke with DPD and 311 a few times and the individual ended up threatening someone walking on S Elmira just as he was leaving the bike path for an evening walk. This person called 911 and DPD came quickly and ended up apprehending him - I believe taking him away in an ambulance. The car sat overnight (no license or tags) open and I was hopeful it would get towed. It had liquor in it and probably drugs ( we didn't obviously get into his vehicle but the booze was clearly visible ). And, it seems pretty clear to all of us by his behavior and his pattern of sitting in the car, waiting for a call, jumping on the LIME bike he has with him and returning soon after that he is dealing. This behavior is on repeat all day. The car remained overnight last week from Wednesday when he was taken away until Thursday late morning when he was and he was back.

Because we had to leave town, I have not observed any new activity. I will check with my neighbors though. We appreciate any and all support you can provide. ","She sent an email to DRC directly again, it is flagged in inbox I rtesponded I just want to clarify that you will not be meeting with anyone from the city until the DOTI engineering team receives the request through 311 and has evaluated the request.  Please make the request to 311 to get the case opened. I have included my previous response below with the link to the street permitting requirements and the instructions to open a case in 311:

Here is the link https://www.denvergov.org/Government/Agencies-Departments-Offices/Agencies-Departments-Offices-Directory/Parking-Division/Permits/Residential-Parking-Permits   with the information to request residential parking restriction in your neighborhood.  The information for the neighborhood, not individual, permit is closer to the bottom of the page in a drop down.  It instructs you to make the request to 311, and I would add that you can click on the “neighborhood issue” button and follow the prompts.  Making a request will get you on a list for the area engineer team to review your proposal and determine if a neighborhood parking plan is feasible. When making your 311 request, I encourage you to sign up for an account.  It doesn’t take long, and you will be able to track your case when you log in.","Police,Parking,Vehicle"
Brad,George Wallace Park,brad@email.com,0,2024-09-16,The big slide at the George Wallace Park Playground was removed back in June/July and we can't find any information on why or when it is going to be replaced. Any information that you could be provided would be appreciated. This might actually be a good time to refresh the playground. The equipment is dated and the sand gets washed out everytime it rains. The updated Rosemond Park Playground just down the street is nice and the George Wallace Playground could use a refresh like that.,"We were not aware that the slide had been removed from George Wallace Park.  I will check with our park contact to see if they have an update on the repairs.  

Please put a request in to 311 for an update to the park.  You can check the “neighborhood issue” box and the details you provided me below.  I will let Councilwoman Romero Campbell know and she can advocate for updates with our parks team at their quarterly meetings.  ",Staff2,,"
I have heard back from our park team, and they told me that the slide has been ordered but not shipped yet.  As soon as they receive it they will install it.  Again, please go 311 to request updates for George Wallace Park.  Councilwoman Romero Campbell will continue to advocate with Denver Parks.
",Parks
Kurt,Stoneybrook,kurt@email.com,0,2024-09-16,"I was troubled when you shared the input you received from constituents when you were campaigning then shared your top priorities and there was little alignment.

1. Safety:  we need more police and a stronger commitment to prosecuting criminals.
2. Security: we need to end our sanctuary status at both the state and city levels.  Illegal immigration is destroying our city.

Without these two, nothing else matters.  I would appreciate a response so when I am asked what our elected representative is doing about these two items, I can provide and answer.  Right now, even after spending a couple hours with you, I have no idea.","Good afternoon Kurt,

Thank you for reaching out to our office. Our office is committed to ensuring Denver residents continue to feel safe within the city and within the state. DPD is always actively recruiting and hasn't been lax in prosecuting criminals in Denver. There are multiple operations and initiatives that DPD employs to ensure the appropriate allocation of assets and resources at their disposal and this is usually what many might disagree with. 

CPT Romero Campbell is very vocal in her support for DPD and has never voted against proposals brought forth by DPD during budget hearings. DPD has voiced that they are trying all methods to once again actively recruit but recruitment is just low which is a case across all the major cities across the country.

Denver has ceased welcoming newcomers and is actively working on properly integrating the newcomers in Colorado. Denver is not a sanctuary city neither is Colorado as we still need to adhere to the immigration laws governing the country. If you have more questions, I will be happy to call you to discuss more. Thank you.",Staff1,"Your response is a bit confusing.  It's my understanding that DPD as nothing to do with prosecuting criminals, as you suggest.  This is the work of our DA who is proving to favor a progressive approach to prosecution which is hurting our city.  DPD is doing everything they can with the resources they are provided by the City Council.  What has the Councilwoman done proactively to help the DPD?

Sanctuary State or City is not a legally defined term, you are correct.  However, our governor and mayor have openly encouraged illegal aliens to believe Colorado and Denver are welcoming and a safe place for them.  Illegal Alien is a legally defined term so it's ok to be honest about how they are named.

Please see attached article from the Wall Street Journal.  It captures the real state of safety and security that applies to our great city!

Thank you for all that you do for our city!

https://www.wsj.com/opinion/contrary-to-media-myth-u-s-urban-crime-rates-are-up-violence-cities-9ce714f6?st=zp91h013vrkmg21&reflink=article_gmail_share

Kind regards,
Kurt Colehower","Hello Kurt,

To your question: What has the Councilwoman done proactively to help the DPD? CPT Romero Campbell is very vocal in her support for DPD and has never voted against proposals brought forth by DPD during budget hearings. She is also very engaged with DPD district 3 and keeps an open line of communication on issues here in our District as well as issues the DPD district 3 is facing in our district. She attends the monthly community advisory board meetings hosted by DPD and listens first hand to the reports, presentations and complaints of the residents. Please let me know if you have further questions. Thank you. ",Police
Dianne,3008 S Xanthia St,dianne@email.com,0,2024-09-16,Why are there sooooo many smashed cars on Yale between Quebec and Wabash? I contacted the Arapahoe County Sheriff’s Dept and they said they’re too busy to do anything about it! It looks like a junk yard in our beautiful neighborhood! Take a ride there to see what I mean. It’s been months and more junked cars keep being added!,"I’m sorry for our delayed response.   I was able to take a drive over there today and, as you reported, there are a lot of cars without tags, and in disrepair and even some had people working on them in the street.  This is a larger problem than simply reporting the cars to 311 so I reached out to our District 3 police contact and our Right of Way contact for assistance with this.  I cannot give you a timeline but if I get any updates, I will send them on to you.",Staff2,,,"Neighborhood,Vehicle"
Julia,Floyd and Niagara,julia@email.com,0,2024-09-16,"We had trash dropped off on the Comcast communication towers on the street, including a bicycle frame and other things! Also we have had cars/ motor cycles racing up and down our streets and Hampden!   Could we possibly have more police surveillance/protection in our area!  Thank you for getting the trees watered and the grass greening up!  We are happy the leak got fixed!","Street racing has been a problem in the southeast corner of Denver all summer.  The Denver police are aware of this and are working with other municipalities law enforcement agencies to control this.  The Denver police would like you to report street racing to the non-emergency line , 720-913-2000 or to the Colorado State Patrol,  https://reportstreetracing.com/?AspxAutoDetectCookieSupport=1. The state troopers will forward the information to the appropriate law enforcement agencies.  

Please report the dumped trash to 311
",Staff2,,,"Trash,Transit,Street Racing,Police,Vegitation"
Kay,8101 E Dartmouth Ave Unit 9,kay@email.com,0,2024-09-17," We are hoping you can help us. When we were informed that our trash/recycle/compost barrels would be charged by the size of our trash barrel, we carefully considered the size ordered based on an assumption our trash needs would decrease because we would discard compost in a separate barrel. Unsurprisingly, we find the smaller trash barrel inadequate because we have yet to receive a compost barrel. We have learned that we will not be line for a compost barrel until the end of 2025. The small credit to our quarterly bill hardly compensates for the issues this causes us to discard all trash and compost each week.  Is there any way you can help get us a compost barrel sooner? We would be happy to pick it up at the barrel distribution site.","Good afternoon Jeff, 

Thank you for reaching out to our office and I sincerely apologize for the late response. You are accurate about District 4 being on the compost rollout schedule with a tentative date of 2025. Unfortunately, our office is not able to assist in requesting a compost bin earlier as DOTI has strict rules and procedures they are following during the roll out and that involves community engagement and education. If you have further question, I would be more than happy to get on a call with you. Thank you.",Staff1,,,Trash
Jim,Tamaron Condos,jim@email.com,0,2024-08-28,"Good Morning Ade,

The address of the condo complex is 

Tamaron Condos 
8500 E Jefferson Ave 
Denver CO 80237

A HOA is involved and it receives the waste water bill that comes out yearly. 

Only two condos out of 170 have direct access to the sidewalk on E Jefferson Ave. The condos are split along 20 buildings on the property.","Good afternoon Jim,

Thank you for your patience. According to what we've heard from DOTI, the formula will and proposed fee will only consider the condos with direct sidewalks access. Our office however will wait for DOTI to confirm this schedule and formula. They will be presenting to the city council again and it is our intention to request that they made the formula, schedule and calculator available on their website. Until then, we will wait and share more updates as they become available. Thank you.
",Staff1,,,Neighborhood
Jan,6960 E Girard #202 Denver,jan@email.com,0,2024-09-17,"I am very concerned about the lack of affordable housing in Denver. Could you tell me what the City has done in the last year to increase the number of affordable units, both rentals and home ownership?  Thanks in advance for this information.","Good morning Jan,

Thank you for reaching out to our office. After assuming the position of Mayor, Mayor Johnston and his office declared that Denver is experiencing a housing and affordable housing crisis. This prompted his team to conduct research and studies to show the needs of Denverites as well as come up with solutions that could satisfy those needs, They introduced a proposal called the Affordable Denver Fund which involves asking Denver voters to consider a 0.5% increase to the city’s sales tax rate, or 5 cents on a $10 purchase. This would generate $100 million a year to preserve and expand housing affordability, accessibility and attainability for tens of thousands of low- and middle-income Denverites on the 2024 November ballot. The Funds would be used across the income spectrum to help in a variety of different ways, including Rental subsidies, Rental voucher, Gap financing for projects, Preserving existing affordable homes and apartments, Acquiring existing homes and apartments and converting them to affordable units, Land banking, Investing in mixed-income projects, Down payment assistance, Mortgage assistance, and Land trusts.
To learn more about this ballot initiative, please visit the affordable Denver fund website and let me know if you have further questions. Thank you.",Staff1,,,Housing
Karen,,karen@email.com,0,2024-09-18,"Hello,

Do home-based businesses include property owners who own rentals? They do not have an LLC, but do collect rental money addressed to their homes.","Thank you for reaching out to our office.  I’ll be happy to help find an answer, but could you please clarify what type of rental you are asking about?  The city has different requirements for different home-based businesses.  ",Staff2,,,Housing
Domenic,,domenic@email.com,0,2024-09-19,"Heard on radio a news clipl reporting 6000 people have decently eft the state.did not 
catch  call letters of the station.
This is the result of oppressive government policies which CO
 has. 
In my opinion people have had jt with oppressive D Party rule","Good afternoon Domenic, 

Thank you for reaching out to our office. Your comments have been recorded and will be passed on to the Councilwoman. Thank you.",Staff1,,,Policy
Andrew,,andrew@email.com,0,2024-09-19,"I understand that there is a proposal to do a legislative rezoning that includes the PUD for the Chase office building at Yale and Colorado.  My house shares a fence with this property.  Maintaining the existing green space buffer is very important to my family and the value of our house.  Does the legislative rezoning reduce any of the obligations contained in the existing PUD?

I heard about this from another resident in the neighborhood, but have not received any official notification regarding this.

Is there someone else at the City and County that I should contact?","Good afternoon Andrew, 

Thank you for reaching out to our office. The citywide and neighborhood planning team would be the best team to answer your questions as they are working on the Near Southeast Area Plan. They can be contacted via Phone: 720-865-2983 or Email: planningservices@denvergov.org. Please let us know if you have further questions! Thank you.",Staff1,,,"Neighborhood,Policy"
Nanci,,nanci@email.com,0,2024-09-19,"I am unclear as to how to contact Quantum regarding a wire they left hanging in my yard when they wired the neighborhood some months ago. This is not a customer service issue, hence contact options they provide on the internet don't work and they have no store fronts where one can talk to someone. The wire is now entangled in my apple tree due to our winds. And...the apple tree has reached it's life span and is scheduled to be removed on October 3. If something isn't done about the wire, I have no clue what will happen when the tree is taken down. Essentially, this is not my problem nor my tree service's problem. It's Quantum's.

So...is there any way of getting in touch with this company that you are aware of or a city office that might oversee this stuff?","Good afternoon Nanci,

Thank you for reaching out to our office. Can you provide the address of this incident so we are able to follow up and reach out to the most appropriate agency. Thank you.",Staff1,"2833 S. Wabash Circle

Thank you. If you need to contact me my cell is 720-353-1004.","Good afternoon Nanci, 

Thank you. I have reached out to the representative at Quantum and will reach back out to you once I get an update. ",Neighborhood
Hannah,,hannah@email.com,0,2024-09-19,"Dear elected officials:

I wanted to bring your attention to the safety concerns at Bible Park. We frequent the park with our four year old son and if you have not yet visited, I highly recommend that you do as you will observe how the park brings together children and families from extremely diverse backgrounds; it truly is a portrait of America.

Here is a clip of what is currently happening at the park. If there is some way to modernize the parking lot with surveillance technology, I highly recommend something along the lines of what this company offers:  https://www.knightscope.com/use-cases/public-park","Good afternoon Hannah, 

Thank you for reaching out to our office and brining this situation to our awareness. Our office is keeping a close eye on the issue and is working closely with DPD and the park rangers to monitor the situation. Both departments continue to work together to surveil the area as well as address incidents happening in the park. Please continue to report issues to 311 via phone or by submitting a report online. Thank you.
",Staff1,,,"Parking,Parks"
Susan,,susan@email.com,0,2024-09-19,"Dear Councilwoman Romero Campbell,

I live in District 4 and have just had the opportunity to speak with many of your other District 4 constituents about the upcoming Beautify Denver cleanup event on Saturday, Sept. 21. An overwhelmingly majority of the people I contacted felt very strongly that the Salvation Army employees and residents at the Tamarac Shelter should participate in the cleanup event.  Their designated area to clean could be between Tamarac and Oneida on both sides of Hampden-the area closest to the shelter.

The facility is a party to the good neighbor agreement and since, for whatever reason, the shelter staff and residents are located in this district, they should have the opportunity to participate in the event to demonstrate their willingness in being contributive community members by cleaning the above-mentioned area.

We would suggest that all residents and staff,  except for those residents who are working on that day, or the most ill or nonambulatory residents, be required to participate in the event. A skeleton staff of Salvation Army employees could be designated to stay at the shelter for those residents who must remain there during the event.

 A crucial attempt at building some goodwill after nine months of opening the shelter seems to be necessary at this time. This could be the inaugural event of a Salvation Army/Tamarac Shelter Adopt-a-Spot campaign.

We hope that you will contact the shelter and very respectively but strongly ""suggest"" that staff and residents take part in this event.","Good afternoon Susan, 

Thank you once again for reaching out to our office. We are excited for the clean up event the Mayor's office is hosting around the city tomorrow Sept 21st and have spread the word on our social media, newsletter and so on. This event is voluntary and we are encouraging everyone who is able to participate to join us tomorrow morning. 

We will be walking around the Hampden Ave area and other areas of the district that need equal attention and trash picked up. We are striving to keep Denver and District 4 clean and look forward to many more clean up collaborations with the Mayor's office, TSA and other organizations/agencies. Thank you. ",Staff1,,,Homeless
Alex,,alex@email.com,0,2024-09-19,"Hello,
I received a notice of rezoning. Tried to get as much info as I could online but it’s limited and vague. Also, website not working properly.

Please can you elaborate on what you plan to do here in University Hills?

Also, what’s the status of the proposed park on Iliff across from Denver Academy?

That lot has been empty for years. It’s sad.

I’m concerned about this rezoning. 

I live by Yale and Eudora.

Thank you.","Good afternoon Alex,

Thank you for reaching out to our office. I have attached the Near Southeast Area Plan to this thread but a brief overview of the plan; The Near Southeast Area Plan is a part of the Neighborhood Planning Initiative (NPI). NPI is a long-term commitment by the city to ensure every neighborhood in Denver can enjoy the benefits of planning and the implementation of community recommendations and investment priorities. NPI provides a framework for neighborhood planning that is intentional, equitable and measurable, and is flexible enough to allow each plan to address the specific circumstances and concerns of each neighborhood. For more questions, I would encourage you reach out to the citywide and neighborhood planning team via Phone: 720-865-2983 or Email: planningservices@denvergov.org.

Bethesda park is slotted to begin construction in 2026 as per the parks and recreation schedule. The next step for getting this park built is transitioning the Vision Plan(PDF, 31MB) into specific designs that can be used for construction. This will involve reaching back on to community, as it gets into specifics of things like the materials in the play areas, the types of shade structures, etc. This should start up by Fall 2024. Construction of the park is expected to start in early 2026. Please let us know if you have further questions. Thank you.",Staff1,,,"Policy,Parks"
